bme_temp,bme_hum,bme_pres,bme_alt,energy_ct1_current,energy_ct2_current,energy_ct1_power,energy_ct2_power,energy_power,energy_vref,time,epoch
13.7,67.3,993.8,269.7,0.228631,0.503921,53.1508,117.148,170.299,232.474,2023-12-10 23:59:57.037038,1702252797.037038
13.7,67.3,993.8,269.7,0.382321,0.341121,88.2981,78.7829,167.081,230.953,2023-12-10 23:59:54.427056,1702252794.427056
13.7,67.4,993.8,269.7,0.281059,0.515697,65.3373,119.883,185.221,232.468,2023-12-10 23:59:51.693807,1702252791.693807
13.7,67.4,993.8,269.5,0.281477,0.449229,65.4474,104.452,169.9,232.514,2023-12-10 23:59:49.038392,1702252789.038392
13.7,67.3,993.8,269.7,0.257821,0.476553,59.8436,110.614,170.458,232.114,2023-12-10 23:59:46.319677,1702252786.319677
13.7,67.2,993.8,269.7,0.23664,0.356878,55.0135,82.9662,137.98,232.478,2023-12-10 23:59:43.629744,1702252783.629744
13.7,67.3,993.8,269.9,0.247865,0.398582,57.2544,92.0687,149.323,230.991,2023-12-10 23:59:40.992021,1702252780.992021
13.7,67.3,993.8,269.9,0.306548,0.539362,71.2632,125.386,196.649,232.47,2023-12-10 23:59:38.313460,1702252778.31346
13.7,67.4,993.8,269.6,0.328497,0.473003,75.9812,109.405,185.387,231.3,2023-12-10 23:59:35.633912,1702252775.633912
13.7,67.4,993.8,269.4,0.292463,0.41947,68.0612,97.6181,165.679,232.717,2023-12-10 23:59:33.065391,1702252773.065391
13.7,67.4,993.9,269.2,0.315646,0.388646,73.3942,90.3681,163.762,232.521,2023-12-10 23:59:30.323518,1702252770.323518
13.7,67.4,993.8,269.6,0.295826,0.536857,68.7366,124.741,193.478,232.355,2023-12-10 23:59:27.608996,1702252767.608996
13.7,67.5,993.9,269.2,0.314221,0.363071,72.6173,83.9067,156.524,231.103,2023-12-10 23:59:24.951874,1702252764.951874
13.7,67.6,993.9,269.1,0.254747,0.430928,59.2464,100.221,159.467,232.57,2023-12-10 23:59:22.332000,1702252762.332
13.7,67.6,993.9,269.1,0.266414,0.426157,62.0061,99.1853,161.191,232.743,2023-12-10 23:59:19.670450,1702252759.67045
13.7,67.7,993.9,269.2,0.305647,0.40108,71.1077,93.3097,164.417,232.646,2023-12-10 23:59:16.921342,1702252756.921342
13.7,67.7,993.8,269.6,0.314472,0.478029,73.2391,111.331,184.57,232.895,2023-12-10 23:59:14.258615,1702252754.258615
13.7,67.7,993.8,269.4,0.272261,0.416771,63.2132,96.7652,159.978,232.178,2023-12-10 23:59:11.591707,1702252751.591707
13.7,67.7,993.8,269.7,0.320397,0.380961,74.3294,88.3799,162.709,231.992,2023-12-10 23:59:08.882028,1702252748.882028
13.7,67.7,993.8,269.7,0.302876,0.40461,70.3638,93.9986,164.362,232.319,2023-12-10 23:59:06.203336,1702252746.203336
13.7,67.6,993.8,269.6,0.369057,0.459807,85.6624,106.726,192.389,232.112,2023-12-10 23:59:03.602233,1702252743.602233
13.7,67.5,993.8,269.5,0.319816,0.344385,74.343,80.0542,154.397,232.455,2023-12-10 23:59:00.886830,1702252740.88683
13.7,67.4,993.8,269.5,0.293998,0.452948,68.3869,105.36,173.747,232.61,2023-12-10 23:58:58.168669,1702252738.168669
13.7,67.4,993.8,269.6,0.267844,0.494836,62.2793,115.06,177.339,232.52,2023-12-10 23:58:55.467610,1702252735.46761
13.7,67.3,993.8,269.6,0.313072,0.456788,72.2262,105.382,177.608,230.701,2023-12-10 23:58:52.796349,1702252732.796349
13.7,67.3,993.8,269.9,0.325506,0.341649,75.7622,79.5196,155.282,232.752,2023-12-10 23:58:50.178166,1702252730.178166
13.7,67.3,993.8,269.9,0.270294,0.48213,63.0068,112.387,175.393,233.105,2023-12-10 23:58:47.490234,1702252727.490234
13.7,67.3,993.8,269.6,0.270237,0.361468,62.8742,84.1002,146.974,232.663,2023-12-10 23:58:44.789286,1702252724.789286
13.7,67.3,993.8,269.6,0.223953,0.487028,52.1233,113.352,165.475,232.742,2023-12-10 23:58:42.050380,1702252722.05038
13.7,67.3,993.8,269.5,0.249294,0.52893,57.8515,122.744,180.596,232.062,2023-12-10 23:58:39.390997,1702252719.390997
13.7,67.4,993.9,269.3,0.294593,0.417326,68.5753,97.1451,165.72,232.78,2023-12-10 23:58:36.750289,1702252716.750289
13.7,67.4,993.8,269.5,0.333263,0.37677,77.5128,87.6318,165.145,232.587,2023-12-10 23:58:34.065554,1702252714.065554
13.7,67.4,993.8,269.6,0.252052,0.449013,58.6731,104.522,163.195,232.782,2023-12-10 23:58:31.349341,1702252711.349341
13.7,67.5,993.8,269.5,0.285071,0.528022,66.3786,122.95,189.328,232.849,2023-12-10 23:58:28.735966,1702252708.735966
13.7,67.5,993.8,269.4,0.248845,0.45134,57.8522,104.929,162.781,232.483,2023-12-10 23:58:26.009225,1702252706.009225
13.7,67.4,993.8,269.5,0.353414,0.52009,82.0594,120.76,202.82,232.191,2023-12-10 23:58:23.323416,1702252703.323416
13.7,67.4,993.8,269.3,0.244648,0.455646,56.844,105.87,162.714,232.351,2023-12-10 23:58:20.639921,1702252700.639921
13.7,67.5,993.8,269.4,0.230723,0.43709,53.934,102.174,156.108,233.761,2023-12-10 23:58:17.946512,1702252697.946512
13.7,67.5,993.9,269.3,0.269681,0.449643,62.7344,104.598,167.332,232.625,2023-12-10 23:58:15.430979,1702252695.430979
13.7,67.6,993.9,269.1,0.274843,0.409828,63.9439,95.3489,159.293,232.656,2023-12-10 23:58:12.595272,1702252692.595272
13.6,67.6,993.9,269.2,0.260722,0.43523,60.726,101.371,162.097,232.914,2023-12-10 23:58:10.024334,1702252690.024334
13.6,67.5,993.8,269.4,0.294205,0.38215,68.5103,88.9898,157.5,232.866,2023-12-10 23:58:07.402036,1702252687.402036
13.7,67.4,993.8,269.6,0.226708,0.427237,52.7052,99.3243,152.029,232.481,2023-12-10 23:58:04.629946,1702252684.629946
13.7,67.4,993.9,269.3,0.239507,0.444294,55.637,103.209,158.846,232.298,2023-12-10 23:58:01.876274,1702252681.876274
13.7,67.6,993.9,269.2,0.285841,0.397642,66.3489,92.3001,158.649,232.118,2023-12-10 23:57:59.207770,1702252679.20777
13.7,67.6,993.9,269.2,0.249648,0.523324,58.0536,121.695,179.748,232.542,2023-12-10 23:57:56.503834,1702252676.503834
13.7,67.7,993.9,269.0,0.255678,0.394977,59.4147,91.7849,151.2,232.381,2023-12-10 23:57:53.817158,1702252673.817158
