
bme_temp,bme_hum,bme_pres,bme_alt,energy_ct1_current,energy_ct2_current,energy_ct1_power,energy_ct2_power,energy_power,energy_vref,time,epoch
13.7,62.3,1003.8,185.8,0.648898,2.26043,150.517,524.326,674.843,231.958,2023-12-22 23:59:48.086675,1703289588.086675
13.7,62.8,1003.8,185.4,0.646738,2.2173,150.218,515.011,665.228,232.27,2023-12-22 23:59:16.411013,1703289556.411013
13.7,63.3,1003.8,185.5,0.640817,2.20272,149.507,513.909,663.416,233.307,2023-12-22 23:58:44.759812,1703289524.759812
13.7,63.4,1003.9,185.2,0.643338,2.216,150.595,518.732,669.328,234.084,2023-12-22 23:58:13.022543,1703289493.022543
13.6,62.8,1003.9,185.0,0.654234,2.21978,152.465,517.308,669.773,233.044,2023-12-22 23:57:41.253606,1703289461.253606
13.6,62.7,1003.8,185.7,0.649935,2.23763,150.982,519.807,670.789,232.303,2023-12-22 23:57:09.644653,1703289429.644653
13.6,62.7,1003.8,185.4,0.633367,2.19785,147.113,510.498,657.612,232.272,2023-12-22 23:56:37.977914,1703289397.977914
13.7,62.6,1003.8,185.4,0.650204,2.19153,151.179,509.552,660.731,232.51,2023-12-22 23:56:06.312416,1703289366.312416
13.7,62.5,1003.8,185.7,0.667246,2.21159,155.073,513.987,669.06,232.407,2023-12-22 23:55:34.647701,1703289334.647701
13.7,62.7,1003.8,185.5,0.657296,2.23155,152.607,518.109,670.716,232.174,2023-12-22 23:55:02.947756,1703289302.947756
13.7,62.7,1003.8,185.6,0.640145,2.17776,148.507,505.217,653.724,231.989,2023-12-22 23:54:31.249453,1703289271.249453
13.8,62.2,1003.8,185.9,0.644839,2.17273,149.747,504.56,654.307,232.224,2023-12-22 23:53:59.360868,1703289239.360868
13.8,62.2,1003.8,185.8,0.629861,2.20495,146.572,513.102,659.674,232.705,2023-12-22 23:53:25.977215,1703289205.977215
13.7,62.4,1003.8,185.9,0.652014,2.20862,151.158,512.028,663.186,231.832,2023-12-22 23:52:54.201090,1703289174.20109
13.7,62.9,1003.7,186.2,0.663523,2.21192,153.874,512.955,666.829,231.905,2023-12-22 23:52:22.601059,1703289142.601059
13.7,62.4,1003.8,185.8,0.640655,2.19058,148.528,507.857,656.385,231.837,2023-12-22 23:51:50.997511,1703289110.997511
13.8,62.6,1003.7,186.2,0.635765,2.18085,147.433,505.736,653.168,231.898,2023-12-22 23:51:19.323611,1703289079.323611
13.7,62.7,1003.8,185.9,0.692125,2.21723,160.769,515.025,675.794,232.283,2023-12-22 23:50:47.749669,1703289047.749669
13.7,62.0,1003.7,186.2,0.652493,2.20702,151.331,511.867,663.199,231.927,2023-12-22 23:50:16.132403,1703289016.132403
13.7,62.7,1003.7,186.2,0.666575,2.18018,154.425,505.081,659.507,231.67,2023-12-22 23:49:44.306617,1703288984.306617
13.7,62.7,1003.8,185.9,0.652813,2.1896,151.061,506.674,657.735,231.401,2023-12-22 23:49:12.593519,1703288952.593519
13.7,62.5,1003.7,186.4,0.660184,2.19308,153.072,508.494,661.567,231.863,2023-12-22 23:48:40.884257,1703288920.884257
13.7,62.7,1003.8,186.0,0.687239,2.19942,159.12,509.245,668.365,231.536,2023-12-22 23:48:09.264661,1703288889.264661
13.8,62.6,1003.7,186.9,0.650383,2.21157,150.898,513.116,664.013,232.014,2023-12-22 23:47:37.548526,1703288857.548526
13.8,63.1,1003.7,186.5,0.627977,2.15811,145.398,499.674,645.072,231.533,2023-12-22 23:47:05.834281,1703288825.834281
13.8,62.7,1003.7,186.4,0.670862,2.16392,155.324,501.01,656.334,231.529,2023-12-22 23:46:34.235209,1703288794.235209
13.8,63.2,1003.7,187.0,0.639041,2.2151,148.243,513.854,662.097,231.978,2023-12-22 23:46:02.534538,1703288762.534538
13.8,62.7,1003.7,186.5,0.659485,2.18831,152.829,507.12,659.949,231.74,2023-12-22 23:45:30.885367,1703288730.885367
13.8,63.8,1003.6,187.2,0.635352,2.19222,147.296,508.228,655.524,231.833,2023-12-22 23:44:59.241472,1703288699.241472
13.7,63.5,1003.6,187.5,0.647171,2.15829,150.079,500.506,650.585,231.899,2023-12-22 23:44:27.530146,1703288667.530146
13.8,63.5,1003.6,187.5,0.649186,2.19147,151.271,510.647,661.918,233.016,2023-12-22 23:43:55.862859,1703288635.862859
13.7,62.5,1003.6,187.4,0.672606,2.18633,156.329,508.154,664.484,232.423,2023-12-22 23:43:24.163241,1703288604.163241
13.8,62.3,1003.7,187.6,0.635333,2.17133,147.876,505.384,653.26,232.753,2023-12-22 23:42:52.528615,1703288572.528615
13.9,62.0,1003.6,187.8,0.634904,2.16271,147.65,502.949,650.599,232.555,2023-12-22 23:42:20.867445,1703288540.867445
13.8,62.7,1003.6,187.7,0.674446,2.16984,156.825,504.54,661.365,232.524,2023-12-22 23:41:49.246975,1703288509.246975
13.8,62.7,1003.5,188.0,0.642849,2.18411,149.422,507.669,657.092,232.438,2023-12-22 23:41:17.593667,1703288477.593667
13.8,62.9,1003.6,187.8,0.656946,2.15919,151.647,498.42,650.067,230.836,2023-12-22 23:40:45.938330,1703288445.93833
13.8,62.4,1003.6,187.7,0.671031,2.17275,155.307,502.873,658.181,231.446,2023-12-22 23:40:14.278729,1703288414.278729
13.9,62.8,1003.5,187.9,0.697102,2.12172,161.515,491.591,653.106,231.694,2023-12-22 23:39:41.607272,1703288381.607272
13.9,62.7,1003.5,188.2,0.644457,2.17719,148.871,502.935,651.806,231.002,2023-12-22 23:39:10.028799,1703288350.028799
13.8,62.8,1003.6,187.4,0.670049,2.15418,154.596,497.02,651.616,230.723,2023-12-22 23:38:38.309962,1703288318.309962
13.8,62.9,1003.7,186.9,0.635795,2.14782,146.871,496.155,643.025,231.003,2023-12-22 23:38:06.666112,1703288286.666112
13.7,62.9,1003.6,187.2,0.643063,2.17004,148.916,502.523,651.439,231.573,2023-12-22 23:37:34.997053,1703288254.997053
13.8,63.8,1003.6,187.2,0.644623,2.16508,149.943,503.61,653.553,232.606,2023-12-22 23:37:03.333020,1703288223.33302
13.7,64.3,1003.6,187.4,0.6671,2.17846,155.438,507.592,663.03,233.005,2023-12-22 23:36:31.663887,1703288191.663887
13.8,63.0,1003.7,186.9,0.661827,2.17151,154.247,506.098,660.345,233.063,2023-12-22 23:35:59.886970,1703288159.88697
13.8,63.3,1003.6,187.5,0.7199,2.14364,167.266,498.065,665.33,232.346,2023-12-22 23:35:28.285629,1703288128.285629
13.7,62.9,1003.6,187.3,0.658886,2.1491,153.197,499.688,652.885,232.51,2023-12-22 23:34:56.581357,1703288096.581357
